sourceExiting11,sourceEntering11,s11a,s11m,monitorExiting12,monitorEntering12,s12a,s12m,s12a_enter,s12m_enter,monitorExiting21,monitorEntering21,s21a,s21m,s21a_enter,s21m_enter,sourceExiting22,sourceEntering22,s22a,s22m,wavelengths,freqs
(0.15259098608875044-0.1329499338176705j),(-5.598506538541914+2.74208900555249j),2.8803175252007627,0.03246489086783704,(-1.8441029377588423-7.7085457079979625j),(0.021253164265214855+0.2573998708899848j),1.7914268566740914,1.271431105158902,-1.1977323261059625,0.04143041816537873,(-1.8433488048918882-7.712749329562065j),(0.018429004338534616+0.2839103040730259j),1.7915607886362956,1.2716926078002184,-1.1802528487340174,0.04562519539880999,(0.12077418918355674-0.143063192306811j),(-5.60034323423887+2.7424199885154996j),2.7272784302113613,0.030024524555977643,1.5489795918367348,0.6455862977602107
(0.11965630646143327-0.16059163730831355j),(-4.89580534143774+3.848039866017504j),2.8772898587022016,0.032160918557818434,(-3.495208988201942-7.097297251554707j),(0.07722930022304322+0.2454141939482129j),1.7793284000845784,1.2704647900173662,-1.2095368685228995,0.04131626594954941,(-3.495400695989438-7.101559316835724j),(0.08047838605004351+0.2719146786651807j),1.7794579157852066,1.2707305316817543,-1.1924998577270547,0.0455260364490659,(0.08632553975652668-0.16285023009204344j),(-4.897533211097336+3.8487114440683317j),2.7242776655880867,0.02959071640967559,1.5510204081632653,0.6447368421052632
(0.0819828797790218-0.18002548684574102j),(-3.974242648371686+4.771203057091523j),2.874404243837011,0.03185621560962338,(-4.955663697661106-6.130626508929189j),(0.12863316851152748+0.22116592211474684j),1.7672631820577414,1.2695036800010435,-1.221311124499114,0.04120292588718202,(-4.9567853590322395-6.134731210314141j),(0.137774530476808+0.24624370222136432j),1.7673881895131947,1.2697734729815497,-1.2047233668036452,0.045427607925277703,(0.049102078444974044-0.17431903765942272j),(-3.975799701574967+4.772183733267874j),2.721545852534113,0.029156772308296774,1.5530612244897959,0.6438896189224704
(0.041612274145924104-0.19054782419302602j),(-2.88160791785634+5.468992927548279j),2.8716647631653442,0.031550909720014134,(-6.1496384931278865-4.86576791815124j),(0.17279271101862162+0.18618055570084197j),1.7552310646085076,1.2685477295966852,-1.2330552814189497,0.041090388765503784,(-6.151624810043247-4.869510841927036j),(0.18731479701452997+0.20851419964471704j),1.755351476879223,1.2688213837472788,-1.2169235937319944,0.045329895657971506,(0.011099045239364875-0.1772591335041372j),(-2.8829405575517457+5.470240499045428j),2.7190945324060953,0.02872291129218987,1.5551020408163265,0.6430446194225722
(0.000649103266654381-0.19195816816662803j),(-1.673602725985266+5.911305956975453j),2.8690755689413723,0.031245129741466357,(-7.018024077016888-3.3756845896471614j),(0.20751127196100452+0.14255340693360014j),1.7432319107359777,1.267596894058545,-1.2447695205277,0.04097864545502307,(-7.02076504099153-3.378883937527823j),(0.22660696717760306+0.16098983017058396j),1.743347645986797,1.2678742170272943,-1.229100746574067,0.04523288555594919,(-0.025748573453114598-0.1719306925923283j),(-1.674667389331411+5.912769597923669j),2.7169357388362383,0.02828935799012905,1.5571428571428572,0.6422018348623854
(-0.03886085003633975-0.18454735447325185j),(-0.41059924996851216+6.081843212457757j),2.866640882424428,0.030939005695764233,(-7.521501147492098-1.744292332271777j),(0.23118355517745648+0.0928077175628727j),1.731265584396686,1.2666511293204414,-1.2564540169347762,0.04086768691004349,(-7.52484923069969-1.7467985009980174j),(0.2538028446256369+0.10642718805244811j),1.731376565950385,1.2669319267870818,-1.2412550237392364,0.04513656361207914,(-0.0596737844601954-0.15902230954957972j),(-0.4113635725315166+6.083465737844488j),2.7150820135445444,0.027856342910254777,1.5591836734693878,0.6413612565445026
(-0.07504262013078264-0.16905698858784277j),(0.8457666871652045+5.978599819796902j),2.8643649924261063,0.030632668789445067,(-7.6422753212523915-0.06115836799932266j),(0.24287060500210636+0.039731340146910626j),1.7193319504963063,1.2657103919192012,-1.2681089394513587,0.040757504176405175,(-7.646054630907628-0.06286135887989522j),(0.2677870023960906+0.04789656640492487j),1.7194381068789357,1.265994467837074,-1.2533866138943615,0.04504091591690659,(-0.08916816480505725-0.1395853323967888j),(0.8453231787291047+5.980320033776289j),2.7135464208357187,0.02742410275047598,1.5612244897959184,0.6405228758169934
(-0.1062877085026273-0.14661442953240722j),(2.0359574086764582+5.61352316525906j),2.862252253085446,0.03032625142102426,(-7.384415273083158+1.583960008213801j),(0.2423306730059955-0.013796526580506724j),1.7074308748913538,1.264774638942359,-1.2797344504015487,0.04064808841028959,(-7.3884320392679905+1.5831257177006357j),(0.26821673378155203-0.011409926463250668j),1.707532139868051,1.2650617957830497,-1.2654956958571628,0.04494592868287489,(-0.11305063290857743-0.11495063933010918j),(2.035843054966112+5.615278208962452j),2.712342560364032,0.02699288072007632,1.563265306122449,0.639686684073107
(-0.13132843866737035-0.11864886024909872j),(3.105651283698301+5.011393522434461j),2.86030708103959,0.030019887172443242,(-6.772830332448939+3.1063769856547365j),(0.2300059574424916-0.06497693421466551j),1.695562224388779,1.2638438280045878,-1.291330705562631,0.04053943090727309,(-6.776884043595526+3.1064302995050057j),(0.25551274630815957-0.06836994067917365j),1.6956585369894321,1.264133867003078,-1.2775824386129193,0.044851588278446736,(-0.13051160096329786-0.08663448269884336j),(3.1058624710193876+5.013121148995374j),2.7114845778864263,0.026562926864443028,1.5653061224489797,0.6388526727509778
(-0.14928778203580192-0.08679486310216046j),(4.008442253647793+4.2080267596755085j),2.858533952268557,0.029713710782180013,(-5.851013595677566+4.431210588955751j),(0.20696816193498177-0.1112501946846876j),1.683725866731783,1.262917917248338,-1.3028978543640657,0.04043152313759055,(-5.85490808771682+4.432124390898705j),(0.23080347359500877-0.1201098457852536j),1.683817171266769,1.2632106386463549,-1.2896470015701862,0.044757881268030354,(-0.14113157983706465-0.05624024370941623j),(4.008963975295826+4.209667476048485j),2.7109871738015014,0.02613449838876226,1.5673469387755103,0.6380208333333333
(-0.15970324101391045-0.05279028061679343j),(4.70798082235425+3.2479359406928867j),2.8569373989158855,0.029407858103113457,(-4.677752902498905+5.497308212910163j),(0.17482841001152186-0.15043280215931407j),1.671921670564236,1.2619968653566478,-1.3144360404047586,0.040324356781412954,(-4.681306744962143+5.499012545726311j),(0.19582883365619622-0.16416025436973256j),1.6720079166311754,1.2622920686424484,-1.3016895351067483,0.044664794451484524,(-0.14487510161151437-0.02536265685875841j),(4.708787582013634+3.2494349660425224j),2.7108656092681422,0.02570785998127031,1.569387755102041,0.6371911573472041
(-0.1625251543713266-0.018375015096329467j),(5.17945785634531+2.1816149802046j),2.8555220063050974,0.02910246605304813,(-3.3230700560647812+6.260155955339636j),(0.13561910839626437-0.18082475719998728j),1.6601495053726192,1.261080631562568,-1.3259454022637491,0.04021792375753688,(-3.3261256558956322+6.2625434706814955j),(0.15281164373876557-0.19857942888397892j),1.6602306478555242,1.2613781157061876,-1.3137101813799232,0.04457231489658385,(-0.14206240257976596+0.004499660221914311j),(5.180514871095379+2.1829239787977732j),2.7111357095741164,0.025283284141311417,1.5714285714285714,0.6363636363636364
(-0.1580914042797039+0.014803145320527272j),(5.410378042260352+1.0626219311044558j),2.854292410212399,0.028797672568390366,(-1.863685368262933+6.693641100036031j),(0.09165676090017383-0.20128217150265934j),1.6484092414114127,1.26016917564096,-1.3374260744977744,0.040112216240351474,(-1.8661163220473829+6.696574345907651j),(0.1043065753309622-0.2220385093060135j),1.6484852404736152,1.2604687393249632,-1.325709075302394,0.04448042995934246,(-0.13332257400066444+0.032018604715131634j),(5.411642701370696+1.0637004838982904j),2.7118138641962832,0.024861051520254793,1.573469387755102,0.6355382619974059
(-0.14708185428464104+0.045270515474070905j),(5.400616067044863-0.05535826768983374j),2.853253294260805,0.02849361657073175,(-0.37831870609017176+6.79062006029884j),(0.045395438372315904-0.21125261935064074j),1.636700749623397,1.2592624578741152,-1.3488781886650072,0.04000722666294207,(-0.38003506444926466+6.793940085967742j),(0.05303742440006576-0.23386537087949122j),1.6367715706952402,1.2595638997207415,-1.337686345535711,0.04438912729009629,(-0.11953277530253203+0.056094450795143996j),(5.40203960102705-0.05454148366280328j),2.712917022682604,0.024441451283243657,1.5755102040816327,0.6347150259067358
(-0.13045686113560837+0.07179335316432701j),(5.161792418609269-1.121301035971481j),2.852409387124244,0.028190437952793225,(1.0568698223147583+6.562325097044893j),(-0.0007193933909559357-0.2107732922841466j),1.6250239015685812,1.2583604389911647,-1.3603018742084676,0.039902947707704355,(1.0559185685856474+6.565860806046846j),(0.0017335700243890887-0.23404682592477752j),1.6250895153301887,1.2586635577870957,-1.3496421153507878,0.044298394826785666,(-0.1017485862357889+0.07589513162774866j),(5.163321730350846-1.1207673869630534j),2.7144626851512097,0.02402478149687959,1.5775510204081633,0.6338939197930142
(-0.10938484039362738+0.09342494047934723j),(4.716044422716246-2.0893282855378406j),2.851765459128304,0.027888277584679474,(2.3724245004364066+6.036716577302245j),(-0.04438764644921924-0.200434423459787j),1.6133785693739744,1.2574630800900308,-1.3716972590694714,0.03979937228907304,(2.3722487546344997+6.040294248881188j),(-0.04702415264899737-0.22319161379612282j),1.6134389517326697,1.257767675009975,-1.3615765032379148,0.04420822078008823,(-0.08113065622575999+0.09087631649857979j),(4.717624028844672-2.089088661040618j),2.716468885905943,0.023611349542530573,1.579591836734694,0.6330749354005167
(-0.08516411683770653+0.10953270094758744j),(4.09429955179734-2.9207699709640362j),2.8513263178303205,0.02758727733576765,(3.5090936830632935+5.2559488028581445j),(-0.08357416607431384-0.18131252168011544j),1.6017646257113565,1.2565703425571126,-1.3830644699756822,0.039696493534818904,(3.509665298461278+5.2594012285459595j),(-0.09093923273638627-0.20245899873590445j),1.6018197577727376,1.2568762133867435,-1.3734896232177214,0.04411859361696361,(-0.058872526420901336+0.10078297533195789j),(4.095873577989216-2.9208246202710586j),2.7189541684466203,0.02320147254863287,1.5816326530612246,0.632258064516129
(-0.05914417538559893+0.11980550024186463j),(3.3341806348641696-3.5857110289649143j),2.8510968022648435,0.027287580103091257,(4.420511348007812+4.273163114292929j),(-0.11660490831855079-0.15487957270106034j),1.5901819438031906,1.2556821880021416,-1.3944036324410534,0.039594304772470286,(4.421767181430557+4.276337854989354j),(-0.12810978615497387-0.17345967652854638j),1.5902318118346503,1.2559891353600694,-1.3853815848875428,0.04402950204912622,(-0.03613391208884021+0.10563425270809824j),(3.3356948042392482-3.5860497627155894j),2.7219375500492835,0.022795477829445177,1.5836734693877552,0.6314432989690721
(-0.03265099026135369+0.1242424927976764j),(2.477685548058326-4.063970336351078j),2.85108177571504,0.026989329835217273,(5.074951869374973+3.1488500539946918j),(-0.14223552283051652-0.12289545034489663j),1.5786303974496783,1.254798578223145,-1.405714870594178,0.03949279952558513,(5.076799005992914+3.151616407692928j),(-0.15710839391895165-0.13813698430643687j),1.5786749928353259,1.2551064037806485,-1.3972524933092554,0.04394093503127,(-0.013982915965414983+0.10569435538908908j),(2.479089097919719-4.064573091720846j),2.72543847407548,0.022393703313639542,1.5857142857142859,0.6306306306306306
(-0.0069204116241546815+0.1231258840147521j),(1.5687871673956906-4.345495586155067j),2.851286117078313,0.026692671541917623,(5.456116270751907+1.9470322716601967j),(-0.15969019565045106-0.08729130002061643j),1.5671098610648049,1.2539194752092617,-1.4169983070016892,0.03939197152139578,(5.458438518368564+1.9492866455119289j),(-0.17702880197241241-0.09863707040388058j),1.5671491802513462,1.254227981905897,-1.409102448889022,0.04385288177050842,(0.006650318615475545+0.10143275604552021j),(1.570034627343859-4.346333342554711j),2.7294767482272255,0.021996497944815036,1.5877551020408165,0.6298200514138816
(0.016957296165770838+0.11698073082213989j),(0.6510933733712909-4.430193424341426j),2.8517147110558403,0.026397751283919402,(5.562972711098233+0.7315123454102407j),(-0.16867065375635998-0.05005162346423868j),1.555620209707503,1.2530448411802158,-1.428254062655916,0.0392918147076697,(5.565637916838615+0.7331818401666726j),(-0.18749911515042672-0.05717671844151389j),1.5556542541413898,1.2533538334331715,-1.4209315474003013,0.04376533174492314,(0.025007027025656582+0.09347732134379902j),(0.6521461381456457-4.431229443049025j),2.7340724670124925,0.021604222037287988,1.5897959183673471,0.6290115532734274
(0.03807966280743042+0.10652537831090339j),(-0.23430716889150413-4.327245690998939j),2.852372437487824,0.02610471614263986,(5.4087318146706895-0.43759328554884913j),(-0.16933711770615376-0.013102255223767982j),1.5441613190963457,1.2521746386518282,-1.4394822572457995,0.0391923232733365,(5.411599541904298-0.43654915352979606j),(-0.18866326156645433-0.01591698155457292j),1.5441900951532939,1.252483922557263,-1.4327398802564275,0.0436782747257436,(0.040519827861385964+0.08256399784150592j),(-0.23347953485694134-4.328437037815738j),2.739245916694604,0.021217247573583762,1.5918367346938775,0.6282051282051282
(0.0557598865517669+0.09261632499056122j),(-1.0507083114744542-4.053988495498322j),2.8532641601130444,0.025813714175623493,(5.019085294069748-1.50684865375507j),(-0.16226459687045053+0.021789540818235458j),1.5327330656019844,1.25130883051076,-1.450683009751962,0.0390934916658213,(5.02201441107664-1.5064380552549146j),(-0.18113435211683904+0.02315024506729475j),1.5327565845104776,1.2516182140361434,-1.444527535067341,0.0435917007961019,(0.052819736993040406+0.06948646651777875j),(-1.05012709339607-4.0552877913312955j),2.7450174608892355,0.0208359584337923,1.5938775510204082,0.6274007682458387
(0.0695402739342517+0.07619124190182026j),(-1.767278909515098-3.634449965630851j),2.8543947148951516,0.02552489436716727,(4.429871755201146-2.4318799038635586j),(-0.1483791693736167+0.053097909834265225j),1.5213353262190126,1.2504473800797586,-1.461856439301361,0.03899531459802255,(4.4327275262736565-2.432080485316078j),(-0.16592501340158436+0.05829698960303763j),1.5213536039795656,1.2507566732473046,-1.4562945964212077,0.04350560035934828,(0.06173138448145206+0.055048752908415696j),(-1.7669556298670883-3.6358072970446855j),2.751407404780753,0.020460750548972114,1.5959183673469388,0.6265984654731458
(0.07919202048002548+0.058213575466797896j),(-2.36013250881862-3.097654234213026j),2.8557688978315636,0.02523840658495818,(3.68435532382861-3.179053217363409j),(-0.12887972492470737+0.07960072283822434j),1.5099679785264593,1.2495902511582053,-1.4730026661360005,0.03889778704016469,(3.6870156536377343-3.179815351260819j),(-0.14436076856839755+0.08813123561977211j),1.509981035828098,1.249899266220444,-1.4680411467588594,0.04341996413215694,(0.06725821805881538+0.04002321042238286j),(-2.360068712776441-3.0990191456623455j),2.7584358356505105,0.020092031970618277,1.5979591836734695,0.6257982120051085
(0.08470283613702174+0.03962168657711266j),(-2.8129508558943352-2.4758034884193054j),2.857391451922329,0.02495440155118595,(2.8303105807777453-3.726409369479033j),(-0.10515105568548183+0.1004194902335777j),1.4986309006511516,1.2487374080304514,-1.4841218124959858,0.03880090419533936,(2.8326711384630836-3.7276605780650973j),(-0.11798305458906043+0.11164391564708379j),1.4986387627858924,1.2490459596396593,-1.4797672671617919,0.043334783121305565,(0.06955987036495816+0.025115638754234466j),(-2.813138306574758-2.477126971138085j),2.7661224371506474,0.019730222844360868,1.6,0.625
